# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1767751227569000000,1767751287591000000,2
workspaceModel.mutableEntityStorage.referrers.ms,1767751227569000000,1767751287591000000,0
workspaceModel.load.cache.from.file.ms,1767751227569000000,1767751287591000000,492
jps.load.initial.state.ms,1767751227569000000,1767751287591000000,5
jps.load.project.to.empty.storage.ms,1767751227569000000,1767751287591000000,113
jps.storage.jps.conf.reader.load.component.ms,1767751227569000000,1767751287591000000,27
workspaceModel.moduleBridgeLoader.loading.modules.ms,1767751227569000000,1767751287591000000,602
jps.reload.project.entities.ms,1767751227569000000,1767751287591000000,0
workspaceModel.moduleBridge.update.option.ms,1767751227569000000,1767751287591000000,0
workspaceModel.save.cache.to.file.ms,1767751227569000000,1767751287591000000,54
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1767751227569000000,1767751287591000000,0
workspaceModel.global.updates.count,1767751227569000000,1767751287591000000,0
jps.library.entities.serializer.save.entities.ms,1767751227569000000,1767751287591000000,0
jps.global.get.library.by.name.ms,1767751227569000000,1767751287591000000,0
jps.global.initialize.library.bridges.after.loading.ms,1767751227569000000,1767751287591000000,0
jps.app.storage.content.reader.load.component.ms,1767751227569000000,1767751287591000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1767751227569000000,1767751287591000000,1
jps.library.entities.serializer.load.entities.ms,1767751227569000000,1767751287591000000,33
workspaceModel.mutableEntityStorage.entities.ms,1767751227569000000,1767751287591000000,0
jps.save.global.entities.ms,1767751227569000000,1767751287591000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1767751227569000000,1767751287591000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1767751227569000000,1767751287591000000,24
workspaceModel.mutableEntityStorage.put.entity.ms,1767751227569000000,1767751287591000000,22
jps.global.handle.before.change.events.ms,1767751227569000000,1767751287591000000,0
jps.module.iml.entities.serializer.load.entities.ms,1767751227569000000,1767751287591000000,28
workspaceModel.mutableEntityStorage.entities.by.source.ms,1767751227569000000,1767751287591000000,1
jps.project.serializers.load.ms,1767751227569000000,1767751287591000000,86
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1767751227569000000,1767751287591000000,0
workspaceModel.orphan.listener.update.ms,1767751227569000000,1767751287591000000,1
workspaceModel.moduleManagerBridge.get.modules.ms,1767751227569000000,1767751287591000000,1
jps.module.iml.entities.serializer.save.entities.ms,1767751227569000000,1767751287591000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1767751227569000000,1767751287591000000,9
jps.app.storage.content.writer.save.component.ms,1767751227569000000,1767751287591000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1767751227569000000,1767751287591000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1767751227569000000,1767751287591000000,0
jps.global.get.libraries.ms,1767751227569000000,1767751287591000000,1
workspaceModel.moduleManagerBridge.load.all.modules.ms,1767751227569000000,1767751287591000000,78
jps.global.handle.changed.events.ms,1767751227569000000,1767751287591000000,0
jps.facet.change.listener.init.bridge.ms,1767751227569000000,1767751287591000000,0
jps.save.changed.project.entities.ms,1767751227569000000,1767751287591000000,1
jps.facet.change.listener.process.change.events.ms,1767751227569000000,1767751287591000000,1
workspaceModel.moduleManagerBridge.create.module.instance.ms,1767751227569000000,1767751287591000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1767751227569000000,1767751287591000000,0
jps.facet.change.listener.before.change.events.ms,1767751227569000000,1767751287591000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1767751227569000000,1767751287591000000,0
jps.apply.loaded.storage.ms,1767751227569000000,1767751287591000000,26
workspaceModel.global.apply.state.to.project.ms,1767751227569000000,1767751287591000000,6
workspaceModel.load.cache.metadata.from.file.ms,1767751227569000000,1767751287591000000,76
workspaceModel.moduleManagerBridge.load.module.ms,1767751227569000000,1767751287591000000,0
jps.global.initialize.library.bridges.ms,1767751227569000000,1767751287591000000,10
workspaceModel.mutableEntityStorage.add.entity.ms,1767751227569000000,1767751287591000000,53
workspaceModel.mutableEntityStorage.has.same.entities.ms,1767751227569000000,1767751287591000000,0
workspaceModel.sync.entities.ms,1767751227569000000,1767751287591000000,0
jps.artifact.entities.serializer.save.entities.ms,1767751227569000000,1767751287591000000,0
workspaceModel.global.updates.ms,1767751227569000000,1767751287591000000,0
jps.artifact.entities.serializer.load.entities.ms,1767751227569000000,1767751287591000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1767751227569000000,1767751287591000000,142
jps.project.serializers.save.ms,1767751227569000000,1767751287591000000,1
jps.global.get.library.ms,1767751227569000000,1767751287591000000,0
workspaceModel.moduleBridge.before.changed.ms,1767751227569000000,1767751287591000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1767751227569000000,1767751287591000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1767751227569000000,1767751287591000000,1
workspaceModel.mutableEntityStorage.to.snapshot.ms,1767751227569000000,1767751287591000000,2
workspaceModel.mutableEntityStorage.replace.by.source.ms,1767751227569000000,1767751287591000000,21
FlushQueue.waitingTimeAvgNs,1767751227569000000,1767751287591000000,0.0
AWTEventQueue.dispatchTimeAvgNs,1767751227569000000,1767751287591000000,2662400.0
AWTEventQueue.dispatchTimeMaxNs,1767751227569000000,1767751287591000000,2670591
FlushQueue.queueSizeAvg,1767751227569000000,1767751287591000000,0.0
ReadAction.executionsCount,1767751227569000000,1767751287591000000,218335
AWTEventQueue.dispatchTimeTotalNS,1767751227569000000,1767751287591000000,31820497914
NonBlockingReadAction.failedExecutionsCount,1767751227569000000,1767751287591000000,5
NonBlockingReadAction.failedExecutionTimeUs,1767751227569000000,1767751287591000000,276735
AWTEventQueue.dispatchTime90PNs,1767751227569000000,1767751287591000000,2670591
WriteAction.executionsCount,1767751227569000000,1767751287591000000,18
FlushQueue.executionTime90PNs,1767751227569000000,1767751287591000000,0
NonBlockingReadAction.finalizedExecutionsCount,1767751227569000000,1767751287591000000,348
FlushQueue.queueSizeMax,1767751227569000000,1767751287591000000,0
FlushQueue.queueSize90P,1767751227569000000,1767751287591000000,0
AWTEventQueue.eventsDispatched,1767751227569000000,1767751287591000000,1
FlushQueue.waitingTimeMaxNs,1767751227569000000,1767751287591000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1767751227569000000,1767751287591000000,8600629
FlushQueue.executionTimeAvgNs,1767751227569000000,1767751287591000000,0.0
FlushQueue.tasksExecuted,1767751227569000000,1767751287591000000,0
FlushQueue.waitingTime90PNs,1767751227569000000,1767751287591000000,0
FlushQueue.executionTimeMaxNs,1767751227569000000,1767751287591000000,0
JVM.totalCpuTimeMs,1767751227569000000,1767751287591000000,51967
JVM.threadCount,1767751227569000000,1767751287591000000,143
JVM.GC.collectionTimesMs,1767751227569000000,1767751287591000000,261
JVM.usedHeapBytes,1767751227569000000,1767751287591000000,500695040
JVM.GC.collections,1767751227569000000,1767751287591000000,25
JVM.usedNativeBytes,1767751227569000000,1767751287591000000,402880856
JVM.totalBytesAllocated,1767751227569000000,1767751287591000000,2612069376
JVM.maxHeapBytes,1767751227569000000,1767751287591000000,2147483648
JVM.maxNativeBytes,1767751227569000000,1767751287591000000,-1
OS.loadAverage,1767751227569000000,1767751287591000000,2.93994140625
Indexes.allKeys.lookups,1767751227569000000,1767751287591000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1767751227569000000,1767751287591000000,0.0
Indexes.stubs.lookupDuration90PMs,1767751227569000000,1767751287591000000,0.0
Indexes.entries.lookupDuration90PMs,1767751227569000000,1767751287591000000,0.0
IndexesFlusher.totalFlushesRetried,1767751227569000000,1767751287591000000,0
IndexesFlusher.totalContentionQuotaSpent,1767751227569000000,1767751287591000000,0
IndexesFlusher.totalFlushingTimeUs,1767751227569000000,1767751287591000000,7454726
Indexes.allKeys.lookupDurationAvgMs,1767751227569000000,1767751287591000000,0.0
Indexes.entries.lookupDurationAvgMs,1767751227569000000,1767751287591000000,0.0
Indexes.stubs.lookupDurationMaxMs,1767751227569000000,1767751287591000000,0.0
Indexes.stubs.lookups,1767751227569000000,1767751287591000000,0.0
Indexes.entries.lookups,1767751227569000000,1767751287591000000,0.0
Indexes.stubs.lookupDurationAvgMs,1767751227569000000,1767751287591000000,0.0
Indexes.allKeys.lookupDuration90PMs,1767751227569000000,1767751287591000000,0.0
Indexes.entries.lookupDurationMaxMs,1767751227569000000,1767751287591000000,0.0
IndexesFlusher.totalFlushes,1767751227569000000,1767751287591000000,38
FileNameCache.totalMisses,1767751227569000000,1767751287591000000,83956
FileNameCache.queries,1767751227569000000,1767751287591000000,1027356
workspaceModel.init.bridges.ms,1767751227569000000,1767751287591000000,11
workspaceModel.collect.changes.ms,1767751227569000000,1767751287591000000,0
workspaceModel.loading.from.cache.ms,1767751227569000000,1767751287591000000,535
workspaceModel.check.recursive.update.ms,1767751227569000000,1767751287591000000,1
workspaceModel.update.unloaded.entities.ms,1767751227569000000,1767751287591000000,0
workspaceModel.pre.handlers.ms,1767751227569000000,1767751287591000000,0
workspaceModel.loading.total.ms,1767751227569000000,1767751287591000000,551
workspaceModel.updates.count,1767751227569000000,1767751287591000000,5
workspaceModel.updates.precise.ms,1767751227569000000,1767751287591000000,36
workspaceModel.initializing.ms,1767751227569000000,1767751287591000000,11
workspaceModel.replace.project.model.ms,1767751227569000000,1767751287591000000,0
workspaceModel.updates.ms,1767751227569000000,1767751287591000000,81
workspaceModel.to.snapshot.ms,1767751227569000000,1767751287591000000,1
MappedFileStorage.totalPagesMapped,1767751227569000000,1767751287591000000,11
FilePageCacheLockFree.totalPagesAllocated,1767751227569000000,1767751287591000000,8
DirectByteBufferAllocator.disposed,1767751227569000000,1767751287591000000,0
StorageLockContext.competingThreads.max,1767751227569000000,1767751287591000000,0
FilePageCacheLockFree.totalBytesWritten,1767751227569000000,1767751287591000000,0
DirectByteBufferAllocator.hits,1767751227569000000,1767751287591000000,29
StorageLockContext.competingThreads.avg,1767751227569000000,1767751287591000000,0.0
FilePageCacheLockFree.totalHeapBytesReclaimed,1767751227569000000,1767751287591000000,0
DirectByteBufferAllocator.reclaimed,1767751227569000000,1767751287591000000,29
FilePageCache.totalPageLoadsUs,1767751227569000000,1767751287591000000,220902
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1767751227569000000,1767751287591000000,5837285
FilePageCacheLockFree.totalNativeBytesReclaimed,1767751227569000000,1767751287591000000,0
FilePageCache.capacityInBytes,1767751227569000000,1767751287591000000,503316478
FilePageCache.maxCacheSizeInBytes,1767751227569000000,1767751287591000000,283131904
FilePageCache.totalPageDisposalsUs,1767751227569000000,1767751287591000000,1111
