# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.usedHeapBytes,1767719195823000000,1767719255835000000,376421280
JVM.maxHeapBytes,1767719195823000000,1767719255835000000,2147483648
JVM.usedNativeBytes,1767719195823000000,1767719255835000000,388704768
JVM.GC.collectionTimesMs,1767719195823000000,1767719255835000000,209
JVM.GC.collections,1767719195823000000,1767719255835000000,29
JVM.maxNativeBytes,1767719195823000000,1767719255835000000,-1
JVM.threadCount,1767719195823000000,1767719255835000000,142
JVM.totalCpuTimeMs,1767719195823000000,1767719255835000000,44797
OS.loadAverage,1767719195823000000,1767719255835000000,4.46142578125
JVM.totalBytesAllocated,1767719195823000000,1767719255835000000,2389446600
FilePageCacheLockFree.totalClosedStoragesReclaimed,1767719195823000000,1767719255835000000,0
StorageLockContext.competingThreads.90P,1767719195823000000,1767719255835000000,0
FilePageCacheLockFree.totalBytesRequested,1767719195823000000,1767719255835000000,425984
StreamlinedBlobStorage.recordsRelocated,1767719195823000000,1767719255835000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1767719195823000000,1767719255835000000,57344
FilePageCacheLockFree.totalPagesAllocated,1767719195823000000,1767719255835000000,7
FilePageCacheLockFree.totalBytesRead,1767719195823000000,1767719255835000000,51040
DirectByteBufferAllocator.hits,1767719195823000000,1767719255835000000,25
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1767719195823000000,1767719255835000000,0
FilePageCacheLockFree.heapBytesInUse,1767719195823000000,1767719255835000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1767719195823000000,1767719255835000000,278994944
FilePageCache.maxCacheSizeInBytes,1767719195823000000,1767719255835000000,278937600
FilePageCache.pageFastCacheHits,1767719195823000000,1767719255835000000,6013
FilePageCacheLockFree.totalPagesReadMs,1767719195823000000,1767719255835000000,1
FilePageCacheLockFree.housekeeperTurnsDone,1767719195823000000,1767719255835000000,120
FilePageCacheLockFree.totalPagesWriteMs,1767719195823000000,1767719255835000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1767719195823000000,1767719255835000000,0
FilePageCacheLockFree.totalPagesWritten,1767719195823000000,1767719255835000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1767719195823000000,1767719255835000000,0
MappedFileStorage.totalBytesMapped,1767719195823000000,1767719255835000000,115343360
DirectByteBufferAllocator.reclaimed,1767719195823000000,1767719255835000000,25
FilePageCacheLockFree.totalPageAllocationsWaited,1767719195823000000,1767719255835000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1767719195823000000,1767719255835000000,0
StreamlinedBlobStorage.recordsAllocated,1767719195823000000,1767719255835000000,79925
FilePageCacheLockFree.totalBytesWritten,1767719195823000000,1767719255835000000,0
StorageLockContext.competingThreads.max,1767719195823000000,1767719255835000000,0
FilePageCacheLockFree.totalPagesHandedOver,1767719195823000000,1767719255835000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1767719195823000000,1767719255835000000,0
FilePageCache.totalPageDisposalsUs,1767719195823000000,1767719255835000000,2587
FilePageCache.pageLoads,1767719195823000000,1767719255835000000,293
MappedFileStorage.totalPagesMapped,1767719195823000000,1767719255835000000,10
FilePageCache.uncachedFileAccess,1767719195823000000,1767719255835000000,190
FilePageCache.totalPageLoadsUs,1767719195823000000,1767719255835000000,176504
FilePageCacheLockFree.totalPagesReclaimed,1767719195823000000,1767719255835000000,0
DirectByteBufferAllocator.misses,1767719195823000000,1767719255835000000,275
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1767719195823000000,1767719255835000000,5836305
FilePageCache.disposedBuffers,1767719195823000000,1767719255835000000,25
StorageLockContext.competingThreads.avg,1767719195823000000,1767719255835000000,0.0
MappedFileStorage.storages,1767719195823000000,1767719255835000000,10
FilePageCacheLockFree.housekeeperTimeSpentMs,1767719195823000000,1767719255835000000,245
FilePageCacheLockFree.totalPagesRequested,1767719195823000000,1767719255835000000,52
FilePageCache.capacityInBytes,1767719195823000000,1767719255835000000,503316478
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1767719195823000000,1767719255835000000,1200777
StreamlinedBlobStorage.recordsDeleted,1767719195823000000,1767719255835000000,188
FilePageCacheLockFree.totalHeapBytesAllocated,1767719195823000000,1767719255835000000,0
FilePageCache.pageHits,1767719195823000000,1767719255835000000,2
FilePageCacheLockFree.nativeBytesInUse,1767719195823000000,1767719255835000000,57344
FilePageCacheLockFree.housekeeperTurnsSkipped,1767719195823000000,1767719255835000000,46252
DirectByteBufferAllocator.disposed,1767719195823000000,1767719255835000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1767719195823000000,1767719255835000000,2
MappedFileStorage.totalTimeSpentOnMappingUs,1767719195823000000,1767719255835000000,418
FilePageCache.maxRegisteredFiles,1767719195823000000,1767719255835000000,599
Indexes.entries.lookupDurationMaxMs,1767719195823000000,1767719255835000000,20.0
IndexesFlusher.totalContentionQuotaSpent,1767719195823000000,1767719255835000000,0
Indexes.stubs.lookupDuration90PMs,1767719195823000000,1767719255835000000,1.0
IndexesFlusher.totalFlushes,1767719195823000000,1767719255835000000,58
